gi|506924386|ref|NC_021251.1|;mycobacterium_tuberculosis_ccdc5079-a
gi|564200404|gb|AYNW01000035.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200389|gb|AYNW01000036.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200383|gb|AYNW01000037.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200375|gb|AYNW01000038.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200367|gb|AYNW01000039.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200348|gb|AYNW01000040.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200336|gb|AYNW01000041.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200325|gb|AYNW01000042.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200301|gb|AYNW01000043.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200251|gb|AYNW01000044.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200245|gb|AYNW01000045.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200235|gb|AYNW01000046.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200228|gb|AYNW01000047.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200216|gb|AYNW01000048.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200207|gb|AYNW01000049.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200186|gb|AYNW01000050.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200154|gb|AYNW01000051.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200139|gb|AYNW01000052.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200128|gb|AYNW01000053.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200109|gb|AYNW01000054.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200094|gb|AYNW01000055.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200079|gb|AYNW01000056.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200047|gb|AYNW01000057.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200032|gb|AYNW01000058.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564200011|gb|AYNW01000059.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199996|gb|AYNW01000060.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199986|gb|AYNW01000061.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199965|gb|AYNW01000062.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199956|gb|AYNW01000063.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199923|gb|AYNW01000064.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199911|gb|AYNW01000065.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199910|gb|AYNW01000066.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199902|gb|AYNW01000067.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199898|gb|AYNW01000068.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199894|gb|AYNW01000069.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199873|gb|AYNW01000070.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199836|gb|AYNW01000071.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199825|gb|AYNW01000072.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199814|gb|AYNW01000073.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199799|gb|AYNW01000074.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199779|gb|AYNW01000075.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199768|gb|AYNW01000076.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199753|gb|AYNW01000077.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199743|gb|AYNW01000078.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199732|gb|AYNW01000079.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199722|gb|AYNW01000080.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199714|gb|AYNW01000081.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199701|gb|AYNW01000082.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199694|gb|AYNW01000083.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199687|gb|AYNW01000084.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199675|gb|AYNW01000085.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199650|gb|AYNW01000086.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199642|gb|AYNW01000087.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199635|gb|AYNW01000088.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199627|gb|AYNW01000089.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199612|gb|AYNW01000090.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199593|gb|AYNW01000091.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199564|gb|AYNW01000092.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199553|gb|AYNW01000093.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199537|gb|AYNW01000094.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199525|gb|AYNW01000095.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199511|gb|AYNW01000096.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199491|gb|AYNW01000097.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199478|gb|AYNW01000098.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199468|gb|AYNW01000099.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199454|gb|AYNW01000100.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199439|gb|AYNW01000101.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199428|gb|AYNW01000102.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199418|gb|AYNW01000103.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199403|gb|AYNW01000104.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199392|gb|AYNW01000105.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199382|gb|AYNW01000106.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199370|gb|AYNW01000107.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199335|gb|AYNW01000108.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199322|gb|AYNW01000109.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199312|gb|AYNW01000110.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199301|gb|AYNW01000111.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199292|gb|AYNW01000112.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199280|gb|AYNW01000113.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199271|gb|AYNW01000114.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199251|gb|AYNW01000115.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199247|gb|AYNW01000116.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199224|gb|AYNW01000117.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199217|gb|AYNW01000118.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199206|gb|AYNW01000119.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199190|gb|AYNW01000120.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199177|gb|AYNW01000121.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199168|gb|AYNW01000122.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199158|gb|AYNW01000123.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199147|gb|AYNW01000124.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199128|gb|AYNW01000125.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199117|gb|AYNW01000126.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199085|gb|AYNW01000127.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199069|gb|AYNW01000128.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199039|gb|AYNW01000129.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199030|gb|AYNW01000130.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564199004|gb|AYNW01000131.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198980|gb|AYNW01000132.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198976|gb|AYNW01000133.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198954|gb|AYNW01000134.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198934|gb|AYNW01000135.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198928|gb|AYNW01000136.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198915|gb|AYNW01000137.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198897|gb|AYNW01000138.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198893|gb|AYNW01000139.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198881|gb|AYNW01000140.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198845|gb|AYNW01000141.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198836|gb|AYNW01000142.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198828|gb|AYNW01000143.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198815|gb|AYNW01000144.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198796|gb|AYNW01000145.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198785|gb|AYNW01000146.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198770|gb|AYNW01000147.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198755|gb|AYNW01000148.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198748|gb|AYNW01000149.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198740|gb|AYNW01000150.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198731|gb|AYNW01000151.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198723|gb|AYNW01000152.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198715|gb|AYNW01000153.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198703|gb|AYNW01000154.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198687|gb|AYNW01000155.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198675|gb|AYNW01000156.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198662|gb|AYNW01000157.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198647|gb|AYNW01000158.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198640|gb|AYNW01000159.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198631|gb|AYNW01000160.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198620|gb|AYNW01000161.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198608|gb|AYNW01000162.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198597|gb|AYNW01000163.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198591|gb|AYNW01000164.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198576|gb|AYNW01000165.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198566|gb|AYNW01000166.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198546|gb|AYNW01000167.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198532|gb|AYNW01000168.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198523|gb|AYNW01000169.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198518|gb|AYNW01000170.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198488|gb|AYNW01000171.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198475|gb|AYNW01000172.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198468|gb|AYNW01000173.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198459|gb|AYNW01000174.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198443|gb|AYNW01000175.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198435|gb|AYNW01000176.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198419|gb|AYNW01000177.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198414|gb|AYNW01000178.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198397|gb|AYNW01000179.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198389|gb|AYNW01000180.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198381|gb|AYNW01000181.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198358|gb|AYNW01000182.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198342|gb|AYNW01000183.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198336|gb|AYNW01000184.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198326|gb|AYNW01000185.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198311|gb|AYNW01000186.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198290|gb|AYNW01000187.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198283|gb|AYNW01000188.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198278|gb|AYNW01000189.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198243|gb|AYNW01000190.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198233|gb|AYNW01000191.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198211|gb|AYNW01000192.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198196|gb|AYNW01000193.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198185|gb|AYNW01000194.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198174|gb|AYNW01000195.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198165|gb|AYNW01000196.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198157|gb|AYNW01000197.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198143|gb|AYNW01000198.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198132|gb|AYNW01000199.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198123|gb|AYNW01000200.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198107|gb|AYNW01000201.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198097|gb|AYNW01000202.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198084|gb|AYNW01000203.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198076|gb|AYNW01000204.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198055|gb|AYNW01000205.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198050|gb|AYNW01000206.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198032|gb|AYNW01000207.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198023|gb|AYNW01000208.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198011|gb|AYNW01000209.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564198004|gb|AYNW01000210.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197993|gb|AYNW01000211.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197983|gb|AYNW01000212.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197965|gb|AYNW01000213.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197952|gb|AYNW01000214.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197943|gb|AYNW01000215.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197936|gb|AYNW01000216.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197920|gb|AYNW01000217.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197909|gb|AYNW01000218.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197898|gb|AYNW01000219.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197893|gb|AYNW01000220.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197884|gb|AYNW01000221.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197864|gb|AYNW01000222.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197858|gb|AYNW01000223.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197849|gb|AYNW01000224.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197842|gb|AYNW01000225.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197834|gb|AYNW01000226.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197822|gb|AYNW01000227.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197813|gb|AYNW01000228.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197801|gb|AYNW01000229.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197792|gb|AYNW01000230.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197781|gb|AYNW01000231.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197774|gb|AYNW01000232.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197767|gb|AYNW01000233.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197759|gb|AYNW01000234.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197752|gb|AYNW01000235.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197744|gb|AYNW01000236.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197730|gb|AYNW01000237.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197723|gb|AYNW01000238.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197709|gb|AYNW01000239.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197701|gb|AYNW01000240.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197689|gb|AYNW01000241.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197680|gb|AYNW01000242.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197672|gb|AYNW01000243.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197665|gb|AYNW01000244.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197654|gb|AYNW01000245.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197649|gb|AYNW01000246.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197644|gb|AYNW01000247.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197637|gb|AYNW01000248.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197629|gb|AYNW01000249.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197621|gb|AYNW01000250.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197614|gb|AYNW01000251.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197595|gb|AYNW01000252.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197589|gb|AYNW01000253.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197580|gb|AYNW01000254.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197569|gb|AYNW01000255.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197559|gb|AYNW01000256.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197542|gb|AYNW01000257.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197534|gb|AYNW01000258.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197525|gb|AYNW01000259.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197515|gb|AYNW01000260.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197501|gb|AYNW01000261.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197493|gb|AYNW01000262.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197479|gb|AYNW01000263.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197472|gb|AYNW01000264.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197447|gb|AYNW01000265.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197430|gb|AYNW01000266.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197422|gb|AYNW01000267.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197415|gb|AYNW01000268.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197405|gb|AYNW01000269.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197395|gb|AYNW01000270.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197384|gb|AYNW01000271.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197373|gb|AYNW01000272.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197358|gb|AYNW01000273.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197349|gb|AYNW01000274.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197342|gb|AYNW01000275.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197331|gb|AYNW01000276.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197321|gb|AYNW01000277.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197304|gb|AYNW01000278.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197292|gb|AYNW01000279.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197278|gb|AYNW01000280.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197269|gb|AYNW01000281.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197257|gb|AYNW01000282.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197245|gb|AYNW01000283.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197236|gb|AYNW01000284.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197229|gb|AYNW01000285.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197219|gb|AYNW01000286.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197208|gb|AYNW01000287.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197198|gb|AYNW01000288.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
gi|564197185|gb|AYNW01000289.1|;mycobacterium_avium_subsp_paratuberculosis_10_5975
